NR.Pytania;komunikatywnosc;Opanowanie;ambitnosc;organizacja;ekstrawertyzm;kreatywnosc
1;-1;0;0;0;-1;0
2;-1;0;0;0;-1;0
3;0;0;1;1;0;0
4;0;1;0;1;0;0
5;-1;0;0;0;-1;0
6;0;0;-1;0;0;-1
7;0;0;1;0;0;0
8;0;0;1;1;0;0
9;0;0;1;0;0;0
10;1;1;-1;0;0;0
11;0;1;0;1;1;0
12;0;1;0;1;0;0
13;1;1;0;0;1;0
14;0;0;1;1;0;-1
15;0;1;0;0;0;0
16;0;0;1;1;0;1
17;-1;0;0;0;-1;0
18;0;-1;0;0;0;0
19;0;0;0;0;0;0
20;-1;-1;0;0;0;0
21;-1;0;0;0;0;0
22;0;1;0;-1;0;1
23;0;0;1;0;0;0
24;-1;0;0;0;-1;0
25;0;0;0;1;0;0
26;0;1;0;0;0;-1
27;0;0;0;0;-1;1
28;1;0;0;1;0;0
29;0;0;1;0;0;0
30;-1;0;1;1;-1;0
31;0;1;0;1;0;0
32;1;0;0;0;1;0
33;0;0;0;1;0;1
34;0;-1;0;0;0;1
35;1;0;0;0;1;1
36;0;0;0;0;0;1
37;0;0;0;-1;0;1
38;0;1;0;0;-1;0
39;0;0;1;0;0;0
40;0;0;0;0;0;1
41;0;0;0;0;0;0
42;0;1;0;1;0;0
43;0;0;0;-1;0;0
44;1;0;0;0;0;-1
45;0;1;0;1;0;0
46;0;0;0;1;0;0
47;-1;0;1;0;0;0
48;1;0;0;0;0;0
49;1;0;0;0;1;0
50;0;0;0;-1;0;0
51;0;1;0;0;0;0
52;0;0;0;0;0;1
53;0;0;0;0;0;-1
54;-1;0;0;0;-1;0
55;0;1;0;1;0;0
56;0;0;0;0;1;-1
57;-1;0;0;0;-1;0
58;0;0;-1;-1;0;0
59;0;-1;0;0;0;0
60;1;0;0;0;1;0
61;0;0;0;0;0;1
62;1;0;0;0;1;0
